,name,gender_add,year,category,publication
353,Elliot G. Jaspin,male,1979,Local-Investigative-Specialized-Reporting,Pottsville (PA) Republican
354,Eric Freedman,male,1994,Beat-Reporting,The Detroit News
355,Eric Lichtblau,male,2006,National-Reporting,The New York Times
356,Eric Lipton,male,1992,Explanatory-Journalism,Hartford (CT) Courant
357,Eric Nalder,male,1990,National-Reporting,The Seattle Times
358,Eric Newhouse,male,2000,Explanatory-Reporting,Great Falls (Mont.) Tribune
359,Ernest Taylor Pyle,male,1944,Correspondence,Scripps-Howard Newspaper Alliance
360,Erwin H. Hagler,male,1980,Feature-Photography,Dallas Times Herald
361,Eugene Gray Payne,male,1968,Editorial-Cartooning,The Charlotte Observer
362,Eugene Patterson,male,1967,Editorial-Writing,The Atlanta Constitution
363,Eugene Robinson,male,2009,Commentary,The Washington Post
364,Felix Morley,male,1936,Editorial-Writing,Washington Post and Scripps-Howard Newspapers
365,Forrest W. Seymour,male,1943,Editorial-Writing,Register and Tribune
366,Foster Church,male,1977,Editorial-Writing,Reno (Nev.) Evening Gazette and Nevada State Journal
367,Francis A. Jamieson,male,1933,Reporting,Associated Press
368,Frank Conniff,male,1956,International-Reporting,International News Service
369,Frank Cushing,male,1948,Photography,Boston Traveler
370,Frank Filan,male,1944,Photography,Associated Press
371,Frank M. O'Brien,male,1922,Editorial-Writing,New York Herald
372,Frank Main,male,2011,Local-Reporting,Chicago Sun-Times
373,Frank Miller,male,1963,Editorial-Cartooning,Des Moines Register
374,Frank Noel,male,1943,Photography,Associated Press
375,Frank Peters Jr.,male,1972,Criticism,St. Louis Post-Dispatch
376,Frank Suraci,male,2015,Local-Reporting,Daily Breeze
377,Fred L. Packer,male,1952,Editorial-Cartooning,New York Mirror
378,Fred Sparks,male,1951,International-Reporting,Chicago Daily News
379,Frederick Meyer,male,1964,Local-Investigative-Specialized-Reporting,The Philadelphia Bulletin
380,Frederick T. Birchall,male,1934,Correspondence,The New York Times
381,Frederick Woltman,male,1947,Reporting,New York World-Telegram
382,Fredric N. Tulsky,male,1987,Investigative-Reporting,The Philadelphia Inquirer
383,Gareth Cook,male,2005,Explanatory-Reporting,The Boston Globe
384,Garry Trudeau,male,1975,Editorial-Cartooning,Universal Press Syndicate
385,Gary Cohn,male,1998,Investigative-Reporting,The Baltimore Sun
386,Gary Mc Millan,male,1984,Local-Investigative-Specialized-Reporting,The Boston Globe
387,Gary Porter,male,2011,Explanatory-Reporting,Milwaukee Journal Sentinel
388,Gaylord D. Shaw,male,1978,National-Reporting,Los Angeles Times
389,Gene Goltz,male,1965,Local-Investigative-Specialized-Reporting,Houston Post
390,Gene Miller,male,1967,Local-Investigative-Specialized-Reporting,The Miami Herald
391,Gene S. Graham,male,1962,National-Reporting,Nashville Tennessean
392,Gene Weingarten,male,2008,Feature-Writing,The Washington Post
393,Geoffrey Parsons,male,1942,Editorial-Writing,New York Herald Tribune
394,George B. Parker,male,1936,Editorial-Writing,Washington Post and Scripps-Howard Newspapers
395,George Beveridge,male,1958,Local-Reporting;-No-Edition-Time,The Evening Star
396,George Bliss,male,1962,Local-Reporting;-No-Edition-Time,Chicago Tribune
397,George De Carvalho,male,1952,Local-Reporting,San Francisco Chronicle
398,George Dohrmann,male,2000,Beat-Reporting,St. Paul Pioneer Press
399,George E. Goodwin,male,1948,Local-Reporting,The Atlanta Journal-Constitution
400,George F. Will,male,1977,Commentary,The Washington Post
401,George Lardner Jr.,male,1993,Feature-Writing,The Washington Post
402,George Rodrigue,male,1986,National-Reporting,The Dallas Morning News
403,George W. Potter,male,1945,Editorial-Writing,The Providence Journal-Bulletin
404,George Weller,male,1943,Reporting,Chicago Daily News
